,GENEABREV,ENTRY,ENTRY NAME,PROTEIN,GENE,ORGANISM,STATUS,GO - BIOLOGICAL PROCESS,MOLECULAR FUNCION,BIOLOGICAL PROCESS,LIGARD
2069,GNA15,P79350,OPRM_BOVIN,Mu-type opioid receptor,OPRM1,Bos taurus (Bovine),Reviewed,adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway. negative regulation of cAMP-mediated signaling. negative regulation of cytosolic calcium ion concentration. negative regulation of nitric oxide biosynthetic process. negative regulation of Wnt protein secretion. opioid receptor signaling pathway. phospholipase C-activating G protein-coupled receptor signaling pathway. positive regulation of ERK1 and ERK2 cascade. positive regulation of neurogenesis. regulation of NMDA receptor activity. sensory perception of pain,G-protein coupled receptor. Receptor. Transducer,na,na
2070,GNA11,P38409,GNA11_BOVIN,Guanine nucleotide-binding protein subunit alpha-11,GNA11,Bos taurus (Bovine),Reviewed,"action potential. adenylate cyclase-modulating G protein-coupled receptor signaling pathway. entrainment of circadian clock. G protein-coupled acetylcholine receptor signaling pathway. phospholipase C-activating dopamine receptor signaling pathway. phototransduction, visible light",Transducer,na,GTP-binding. Magnesium. Metal-binding. Nucleotide-binding
2071,AES,Q3SYY6,Q3SYY6_BOVIN,AES protein,AES,Bos taurus (Bovine),Unreviewed,"regulation of transcription, DNA-templated. Wnt signaling pathway",Repressor,Wnt signaling pathway,na
2072,TLE2,Q3ZBG4,HES1_BOVIN,Transcription factor HES-1,HES1,Bos taurus (Bovine),Reviewed,"adenohypophysis development. anterior/posterior pattern specification. ascending aorta morphogenesis. cardiac neural crest cell development involved in outflow tract morphogenesis. cell adhesion. cell maturation. cell migration. cell morphogenesis involved in neuron differentiation. cochlea development. comma-shaped body morphogenesis. common bile duct development. embryonic heart tube morphogenesis. establishment of epithelial cell polarity. forebrain radial glial cell differentiation. glomerulus vasculature development. hindbrain morphogenesis. inner ear receptor cell stereocilium organization. labyrinthine layer blood vessel development. lateral inhibition. liver development. lung development. metanephric nephron tubule morphogenesis. midbrain development. midbrain-hindbrain boundary morphogenesis. negative regulation of cell fate determination. negative regulation of DNA-binding transcription factor activity. negative regulation of forebrain neuron differentiation. negative regulation of glial cell proliferation. negative regulation of inner ear auditory receptor cell differentiation. negative regulation of neuron differentiation. negative regulation of oligodendrocyte differentiation. negative regulation of pancreatic A cell differentiation. negative regulation of pro-B cell differentiation. negative regulation of stem cell differentiation. negative regulation of stomach neuroendocrine cell differentiation. negative regulation of transcription, DNA-templated. negative regulation of transcription by RNA polymerase II. neuronal stem cell population maintenance. Notch signaling pathway. oculomotor nerve development. pancreas development. pharyngeal arch artery morphogenesis. positive regulation of astrocyte differentiation. positive regulation of BMP signaling pathway. positive regulation of DNA binding. positive regulation of mitotic cell cycle, embryonic. positive regulation of Notch signaling pathway. positive regulation of receptor signaling pathway via JAK-STAT. positive regulation of T cell proliferation. positive regulation of transcription by RNA polymerase II. positive regulation of tyrosine phosphorylation of STAT protein. protein-containing complex assembly. regulation of epithelial cell proliferation. regulation of fat cell differentiation. regulation of neurogenesis. regulation of receptor signaling pathway via JAK-STAT. regulation of secondary heart field cardioblast proliferation. regulation of timing of neuron differentiation. regulation of transcription by RNA polymerase II. renal interstitial fibroblast development. smoothened signaling pathway. somatic stem cell population maintenance. S-shaped body morphogenesis. telencephalon development. thymus development. trochlear nerve development. ureteric bud morphogenesis. vascular associated smooth muscle cell development. ventricular septum morphogenesis",DNA-binding. Repressor,Transcription. Transcription regulation,na
2073,TLE6,Q647I9,NALP5_BOVIN,"NACHT, LRR and PYD domains-containing protein 5",NLRP5,Bos taurus (Bovine),Reviewed,actin filament organization. establishment of spindle localization. regulation of cell division,na,na,ATP-binding. Nucleotide-binding
2074,ZNF555,F1N143,F1N143_BOVIN,Zinc finger protein 555,ZNF555,Bos taurus (Bovine),Unreviewed,negative regulation of transcription by RNA polymerase II. regulation of transcription by RNA polymerase II,na,na,Metal-binding. Zinc
2075,ZNF554,A6QNX1,A6QNX1_BOVIN,ZNF554 protein,ZNF554,Bos taurus (Bovine),Unreviewed,negative regulation of transcription by RNA polymerase II. regulation of transcription by RNA polymerase II,na,na,Metal-binding. Zinc
2076,THOP1,Q1JPJ8,THOP1_BOVIN,Thimet oligopeptidase,THOP1,Bos taurus (Bovine),Reviewed,peptide metabolic process. proteolysis,Hydrolase. Metalloprotease. Protease,na,Metal-binding. Zinc
2077,SGTA,Q76LV2,HS90A_BOVIN,Heat shock protein HSP 90-alpha,HSP90AA1,Bos taurus (Bovine),Reviewed,activation of innate immune response. cellular response to heat. cellular response to virus. positive regulation of defense response to virus by host. positive regulation of interferon-beta production. positive regulation of nitric oxide biosynthetic process. protein folding. protein stabilization. regulation of apoptotic process. response to antibiotic. response to cold. response to heat,Chaperone. Hydrolase,Stress response,ATP-binding. Nucleotide-binding
2078,SLC39A3,Q5E960,S39A3_BOVIN,Zinc transporter ZIP3,SLC39A3,Bos taurus (Bovine),Reviewed,zinc ion transmembrane transport,na,Ion transport. Transport. Zinc transport,Zinc
2079,DIRAS1,G5E6L2,G5E6L2_BOVIN,DIRAS family GTPase 1,DIRAS1,Bos taurus (Bovine),Unreviewed,signal transduction,na,na,GTP-binding. Nucleotide-binding
2080,FBXL21,Q3ZBA7,FXL21_BOVIN,F-box/LRR-repeat protein 21,FBXL21,Bos taurus (Bovine),Reviewed,entrainment of circadian clock by photoperiod. G2/M transition of mitotic cell cycle. protein ubiquitination. regulation of cell cycle. rhythmic process. SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,na,Biological rhythms. Ubl conjugation pathway,na
2081,LECT2,O62644,LECT2_BOVIN,Leukocyte cell-derived chemotaxin-2,LECT2,Bos taurus (Bovine),Reviewed,chemotaxis,na,Chemotaxis,Metal-binding. Zinc
2082,TGFBI,P55906,BGH3_BOVIN,Transforming growth factor-beta-induced protein ig-h3,TGFBI,Bos taurus (Bovine),Reviewed,angiogenesis. cell adhesion. cell population proliferation. extracellular matrix organization,na,Cell adhesion,na
2083,SMAD5,A0A3Q1M3K3,A0A3Q1M3K3_BOVIN,Mothers against decapentaplegic homolog,SMAD5,Bos taurus (Bovine),Unreviewed,anatomical structure morphogenesis. BMP signaling pathway. bone development. cardiac muscle contraction. cartilage development. cell differentiation. cellular response to organic cyclic compound. erythrocyte differentiation. germ cell development. osteoblast fate commitment. positive regulation of osteoblast differentiation. positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus. protein phosphorylation. SMAD protein signal transduction. transforming growth factor beta receptor signaling pathway. ureteric bud development,DNA-binding,Transcription. Transcription regulation,Metal-binding. Zinc
2084,SMIM32,A0A4W2DH22,A0A4W2DH22_BOBOX,Uncharacterized protein,SMIM32,Bos indicus x Bos taurus (Hybrid cattle),Unreviewed,na,na,na,na
2085,TRPC7,P79135,MX1_BOVIN,Interferon-induced GTP-binding protein Mx1,MX1,Bos taurus (Bovine),Reviewed,defense response to virus. dynamin family protein polymerization involved in mitochondrial fission. innate immune response. membrane fusion. mitochondrial fission. negative regulation of viral genome replication. postsynaptic neurotransmitter receptor internalization. receptor internalization. regulation of synapse structure or activity. response to type III interferon. response to type I interferon. response to virus. synaptic vesicle budding from presynaptic endocytic zone membrane,na,Antiviral defense. Immunity. Innate immunity,GTP-binding. Nucleotide-binding
2086,SPOCK1,Q17QR9,Q17QR9_BOVIN,"Sparc/osteonectin, cwcv and kazal-like domains proteoglycan (Testican) 1",SPOCK1,Bos taurus (Bovine),Unreviewed,central nervous system neuron differentiation. establishment of protein localization to extracellular region. negative regulation of cell-substrate adhesion. negative regulation of endopeptidase activity. negative regulation of neuron projection development. neurogenesis. neuron migration,na,na,na
2087,KLHL3,F1MBP6,KLHL3_BOVIN,Kelch-like protein 3,KLHL3,Bos taurus (Bovine),Reviewed,distal tubule morphogenesis. ion homeostasis. protein K48-linked ubiquitination. protein ubiquitination. renal sodium ion absorption. ubiquitin-dependent protein catabolic process,Actin-binding,Ubl conjugation pathway,na
2088,MIR874,na,na,na,na,na,na,na,na,na,na
2089,TRNAR-ACG,na,na,na,na,na,na,na,na,na,na
2090,HNRNPA0,F6RSR1,F6RSR1_BOVIN,Heterogeneous nuclear ribonucleoprotein A0,HNRNPA0,Bos taurus (Bovine),Unreviewed,na,RNA-binding,na,na
2091,MYOT,Q8SQ24,MYOZ1_BOVIN,Myozenin-1,MYOZ1,Bos taurus (Bovine),Reviewed,na,na,na,na
2092,PKD2L2,Q2TBW4,Q2TBW4_BOVIN,Polycystic kidney disease 2-like 2,PKD2L2,Bos taurus (Bovine),Unreviewed,detection of mechanical stimulus,na,na,na
2093,FAM13B,A0A4W2HK79,A0A4W2HK79_BOBOX,Rho-GAP domain-containing protein,FAM13B,Bos indicus x Bos taurus (Hybrid cattle),Unreviewed,signal transduction,na,na,na
2094,TRNAG-UCC,na,na,na,na,na,na,na,na,na,na
2095,WNT8A,E1BKL2,E1BKL2_BOVIN,Protein Wnt,WNT8A,Bos taurus (Bovine),Unreviewed,canonical Wnt signaling pathway. cell fate commitment. cell morphogenesis. endoderm development. establishment of animal organ orientation. neuron differentiation. polarity specification of anterior/posterior axis. polarity specification of proximal/distal axis. regulation of protein localization,Developmental protein,Wnt signaling pathway,na
2096,NME5,E1BDQ6,E1BDQ6_BOVIN,NME/NM23 family member 5,NME5,Bos taurus (Bovine),Unreviewed,cilium assembly. CTP biosynthetic process. epithelial cilium movement involved in extracellular fluid movement. GTP biosynthetic process. negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway. spermatid development. UTP biosynthetic process. ventricular system development,na,na,na
2097,BRD8,Q2TBU9,RUVB2_BOVIN,RuvB-like 2,RUVBL2,Bos taurus (Bovine),Reviewed,box C/D snoRNP assembly. chromatin remodeling. DNA recombination. DNA repair. histone acetylation. histone H2A acetylation. histone H4 acetylation. regulation of transcription by RNA polymerase II,Activator. Chromatin regulator. Helicase. Hydrolase,DNA damage. DNA recombination. DNA repair. Transcription. Transcription regulation,ATP-binding. Nucleotide-binding
2098,KIF20A,Q29RT6,KI20A_BOVIN,Kinesin-like protein KIF20A,KIF20A,Bos taurus (Bovine),Reviewed,microtubule-based movement. microtubule bundle formation. midbody abscission. mitotic cytokinesis. protein transport. regulation of cytokinesis,Motor protein,Protein transport. Transport,ATP-binding. Nucleotide-binding
2099,CDC23,A1A4R8,CDC23_BOVIN,Cell division cycle protein 23 homolog,CDC23,Bos taurus (Bovine),Reviewed,anaphase-promoting complex-dependent catabolic process. cell division. metaphase/anaphase transition of mitotic cell cycle. mitotic metaphase plate congression. positive regulation of mitotic metaphase/anaphase transition. protein K11-linked ubiquitination. protein ubiquitination,na,Cell cycle. Cell division. Mitosis. Ubl conjugation pathway,na
2100,GFRA3,A4IFA9,A4IFA9_BOVIN,GDNF family receptor alpha 3,GFRA3,Bos taurus (Bovine),Unreviewed,nervous system development. neuron migration. sympathetic nervous system development,Receptor,na,na
2101,TRNAE-UUC,na,na,na,na,na,na,na,na,na,na
2102,CDC25C,A5D7P0,MPIP3_BOVIN,M-phase inducer phosphatase 3,CDC25C,Bos taurus (Bovine),Reviewed,cell division. G2/M transition of mitotic cell cycle. positive regulation of G2/MI transition of meiotic cell cycle. positive regulation of G2/M transition of mitotic cell cycle,Hydrolase. Protein phosphatase,Cell cycle. Cell division. Mitosis,na
2103,SLBP2,F1LKN1,F1LKN1_BOVIN,Stem loop binding protein 2,SLBP2,Bos taurus (Bovine),Unreviewed,mRNA 3'-end processing by stem-loop binding and cleavage. mRNA transport,RNA-binding,na,na
2104,FAM53C,Q29RM2,FA53C_BOVIN,Protein FAM53C,FAM53C,Bos taurus (Bovine),Reviewed,protein import into nucleus,na,na,na
2105,MIR2459,na,na,na,na,na,na,na,na,na,na
2106,KDM3B,E1BE97,E1BE97_BOVIN,Lysine demethylase 3B,KDM3B,Bos taurus (Bovine),Unreviewed,histone H3-K9 demethylation. regulation of transcription by RNA polymerase II,na,na,na
2107,REEP2,Q2KI30,REEP2_BOVIN,Receptor expression-enhancing protein 2,REEP2,Bos taurus (Bovine),Reviewed,endoplasmic reticulum tubular network organization,na,na,na
2108,EGR1,Q29W20,EGR1_BOVIN,Early growth response protein 1,EGR1,Bos taurus (Bovine),Reviewed,"cellular response to heparin. cellular response to interleukin-8. cellular response to mycophenolic acid. circadian regulation of gene expression. circadian temperature homeostasis. estrous cycle. glomerular mesangial cell proliferation. locomotor rhythm. positive regulation of chemokine production. positive regulation of glomerular metanephric mesangial cell proliferation. positive regulation of hormone biosynthetic process. positive regulation of interleukin-1 beta production. positive regulation of transcription, DNA-templated. positive regulation of transcription by RNA polymerase II. regulation of progesterone biosynthetic process. regulation of transcription by RNA polymerase II. response to hypoxia. response to ischemia",Activator. DNA-binding,Biological rhythms. Transcription. Transcription regulation,Metal-binding. Zinc
